smiles,EF,SA,KP,AB,PA,BW,DKO
CC12CCC(CC1)C(C)(C)O2,1.01999647,0.994216517,0.974959389,0.981161337,0.997226485,1.118393412,1.069172818
NC(=O)CCC(N)C(=O)O,1.009909978,0.995659502,1.056125685,0.991721543,0.997570594,1.02766222,0.96644091
COc1cc(OC)c(OC)cc1C=O,1.033865396,1.022210422,1.003961725,0.978401306,1.001011679,0.926222045,1.050148391
C[C@]12CC[C@H]3C(=CCc4cc(O)ccc43)[C@@H]1CCC2=O,1.022518093,0.986712996,1.044988322,0.972005986,0.991720749,0.946873759,0.767064911
CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O,0.126081146,0.028859696,0.995774786,0.551061154,0.984150362,0.874942457,0.082185526
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])O)c2cc1C,0.989736995,0.96362524,1.061926552,0.980628995,0.98690323,0.991516547,0.980899475
NCCc1cnc[nH]1,1.051516756,1.032888509,0.968058554,1.072133835,1.027163926,0.989300699,1.110265581
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,0.983432937,1.002874426,1.018290663,1.050425624,0.976579974,0.961276045,1.00829465
CN1[C@@H]2CC[C@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2,0.998562675,0.997102487,0.96520907,0.973869297,0.992408966,0.964575209,1.071455749
CC(C)=CCC[C@]1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)O[C@]12C(=C[C@@H]4C[C@H]1C(C)(C)O[C@@]2(C/C=C(/C)C(=O)O)C4=O)C3=O,0.202990645,0.042423753,1.102027702,1.016544162,1.020281756,0.787164447,1.146792482
